timestamp,pageview
2020010100,93
2020010200,80
2020010300,96
2020010400,91
2020010500,51
2020010600,245
2020010700,127
2020010800,106
2020010900,186
2020011000,168
2020011100,131
2020011200,104
2020011300,123
2020011400,82
2020011500,96
2020011600,97
2020011700,82
2020011800,85
2020011900,92
2020012000,87
2020012100,93
2020012200,60
2020012300,82
2020012400,85
2020012500,99
2020012600,102
2020012700,65
2020012800,78
2020012900,77
2020013000,107
2020013100,94
2020020100,60
2020020200,93
2020020300,81
2020020400,61
2020020500,79
2020020600,71
2020020700,68
2020020800,69
2020020900,85
2020021000,53
2020021100,69
2020021200,72
2020021300,88
2020021400,76
2020021500,77
2020021600,97
2020021700,86
2020021800,66
2020021900,69
2020022000,81
2020022100,68
2020022200,85
2020022300,93
2020022400,76
2020022500,71
2020022600,76
2020022700,64
2020022800,59
2020022900,66
2020030100,64
2020030200,72
2020030300,52
2020030400,73
2020030500,77
2020030600,66
2020030700,100
2020030800,77
2020030900,62
2020031000,49
2020031100,60
2020031200,46
2020031300,43
2020031400,74
2020031500,136
2020031600,55
2020031700,52
2020031800,54
2020031900,64
2020032000,58
2020032100,68
2020032200,51
2020032300,51
2020032400,63
2020032500,77
2020032600,50
2020032700,77
2020032800,88
2020032900,83
2020033000,92
2020033100,90
2020040100,117
2020040200,70412
2020040300,28103
2020040400,8213
2020040500,6275
2020040600,4096
2020040700,2839
2020040800,4489
2020040900,2765
2020041000,1835
2020041100,1949
2020041200,2720
2020041300,2384
2020041400,1324
2020041500,2102
2020041600,1167
2020041700,893
2020041800,4036
2020041900,1434
2020042000,847
2020042100,1100
2020042200,1327
2020042300,757
2020042400,689
2020042500,922
2020042600,759
2020042700,679
2020042800,621
2020042900,524
2020043000,590
2020050100,536
2020050200,550
2020050300,512
2020050400,493
2020050500,379
2020050600,333
2020050700,361
2020050800,321
2020050900,427
2020051000,423
2020051100,400
2020051200,334
2020051300,336
2020051400,326
2020051500,876
2020051600,553
2020051700,366
2020051800,507
2020051900,534
2020052000,348
2020052100,257
2020052200,272
2020052300,410
2020052400,520
2020052500,341
2020052600,295
2020052700,244
2020052800,253
2020052900,213
2020053000,194
2020053100,197
2020060100,173
2020060200,144
2020060300,167
2020060400,193
2020060500,156
2020060600,165
2020060700,150
2020060800,172
2020060900,149
2020061000,183
2020061100,176
2020061200,318
2020061300,184
2020061400,176
2020061500,148
2020061600,165
2020061700,150
2020061800,180
2020061900,132
2020062000,198
2020062100,211
2020062200,2935
2020062300,474
2020062400,246
2020062500,192
2020062600,176
2020062700,157
2020062800,201
2020062900,223
2020063000,157
2020070100,164
2020070200,140
2020070300,172
2020070400,166
2020070500,125
2020070600,156
2020070700,173
2020070800,144
2020070900,142
2020071000,138
2020071100,132
2020071200,145
2020071300,146
2020071400,128
2020071500,122
2020071600,137
2020071700,120
2020071800,135
2020071900,138
2020072000,148
2020072100,124
2020072200,105
2020072300,127
2020072400,127
2020072500,124
2020072600,126
2020072700,105
2020072800,168
2020072900,141
2020073000,181
2020073100,149
2020080100,157
2020080200,132
2020080300,125
2020080400,111
2020080500,96
2020080600,100
2020080700,86
2020080800,119
2020080900,94
2020081000,115
2020081100,121
2020081200,94
2020081300,87
2020081400,117
2020081500,118
2020081600,97
2020081700,506
2020081800,146
2020081900,175
2020082000,119
2020082100,121
2020082200,223
2020082300,153
2020082400,116
2020082500,120
2020082600,139
2020082700,118
2020082800,118
2020082900,792
2020083000,387
2020083100,249
2020090100,146
2020090200,135
2020090300,161
2020090400,128
2020090500,197
2020090600,128
2020090700,162
2020090800,135
2020090900,116
2020091000,110
2020091100,114
2020091200,177
2020091300,147
2020091400,102
2020091500,99
2020091600,120
2020091700,225
2020091800,165
2020091900,316
2020092000,299
2020092100,148
2020092200,236
2020092300,191
2020092400,131
2020092500,97
2020092600,129
2020092700,126
2020092800,220
2020092900,109
2020093000,197
2020100100,111
2020100200,109
2020100300,129
2020100400,128
2020100500,105
2020100600,110
2020100700,120
2020100800,311
2020100900,173
2020101000,147
2020101100,124
2020101200,153
2020101300,114
2020101400,305
2020101500,152
2020101600,152
2020101700,151
2020101800,181
2020101900,151
2020102000,119
2020102100,136
2020102200,138
2020102300,125
2020102400,140
2020102500,116
2020102600,122
2020102700,121
2020102800,154
2020102900,133
2020103000,130
2020103100,189
2020110100,156
2020110200,131
2020110300,109
2020110400,78
2020110500,89
2020110600,102
2020110700,104
2020110800,107
2020110900,246
2020111000,122
2020111100,147
2020111200,188
2020111300,143
2020111400,288
2020111500,209
2020111600,123
2020111700,157
2020111800,125
2020111900,108
2020112000,96
2020112100,110
2020112200,136
2020112300,132
2020112400,141
2020112500,131
2020112600,123
2020112700,127
2020112800,144
2020112900,161
2020113000,93
2020120100,264
2020120200,120
2020120300,147
2020120400,121
2020120500,141
2020120600,144
2020120700,127
2020120800,118
2020120900,154
2020121000,150
2020121100,157
2020121200,171
2020121300,199
2020121400,198
2020121500,136
2020121600,189
2020121700,151
2020121800,178
2020121900,191
2020122000,209
2020122100,165
2020122200,157
2020122300,185
2020122400,188
2020122500,316
2020122600,189
2020122700,374
2020122800,216
2020122900,203
2020123000,285
2020123100,441
